2026-11-01, 09:00, 10:30, CSE, 3, Data Structures, CS301
2026-11-01, 09:00, 10:30, CSE, 4, Operating Systems, CS402
2026-11-01, 09:00, 10:30, ECE, 3, Signals and Systems, EC301
2026-11-01, 09:00, 10:30, ECE, 4, Digital Electronics, EC402
2026-11-01, 09:00, 10:30, MECH, 3, Thermodynamics, ME301
2026-11-01, 09:00, 10:30, MECH, 4, Fluid Mechanics, ME402
2026-11-01, 09:00, 10:30, CIVIL, 3, Structural Analysis, CI301
2026-11-01, 09:00, 10:30, CIVIL, 4, Geotechnical Engineering, CI402
2026-11-01, 09:00, 10:30, IT, 3, Web Technologies, IT301
2026-11-01, 09:00, 10:30, IT, 4, Data Mining, IT402
2026-11-01, 11:30, 13:00, CSE, 1, Database Systems, CS103
2026-11-01, 11:30, 13:00, CSE, 2, Computer Networks, CS204
2026-11-01, 11:30, 13:00, ECE, 1, Microprocessors, EC103
2026-11-01, 11:30, 13:00, ECE, 2, Control Systems, EC204
2026-11-01, 11:30, 13:00, MECH, 1, Machine Design, ME103
2026-11-01, 11:30, 13:00, MECH, 2, Manufacturing Processes, ME204
2026-11-01, 11:30, 13:00, CIVIL, 1, Surveying, CI103
2026-11-01, 11:30, 13:00, CIVIL, 2, Concrete Technology, CI204
2026-11-01, 11:30, 13:00, IT, 1, Cloud Computing, IT103
2026-11-01, 11:30, 13:00, IT, 2, Cyber Security, IT204
2026-11-02, 09:00, 10:30, CSE, 3, Software Engineering, CS305
2026-11-02, 09:00, 10:30, CSE, 4, Compiler Design, CS406
2026-11-02, 09:00, 10:30, ECE, 3, VLSI Design, EC305
2026-11-02, 09:00, 10:30, ECE, 4, Communication Systems, EC406
2026-11-02, 09:00, 10:30, MECH, 3, Heat Transfer, ME305
2026-11-02, 09:00, 10:30, MECH, 4, Strength of Materials, ME406
2026-11-02, 09:00, 10:30, CIVIL, 3, Transportation Engineering, CI305
2026-11-02, 09:00, 10:30, CIVIL, 4, Environmental Engineering, CI406
2026-11-02, 09:00, 10:30, IT, 3, Software Testing, IT305
2026-11-02, 09:00, 10:30, IT, 4, Mobile App Development, IT406
2026-11-02, 11:30, 13:00, CSE, 1, Artificial Intelligence, CS107
2026-11-02, 11:30, 13:00, CSE, 2, Machine Learning, CS208
2026-11-02, 11:30, 13:00, ECE, 1, Electromagnetic Theory, EC107
2026-11-02, 11:30, 13:00, ECE, 2, Embedded Systems, EC208
2026-11-02, 11:30, 13:00, MECH, 1, Dynamics of Machinery, ME107
2026-11-02, 11:30, 13:00, MECH, 2, Automobile Engineering, ME208
2026-11-02, 11:30, 13:00, CIVIL, 1, Hydraulics, CI107
2026-11-02, 11:30, 13:00, CIVIL, 2, Building Materials, CI208
2026-11-02, 11:30, 13:00, IT, 1, Information Retrieval, IT107
2026-11-02, 11:30, 13:00, IT, 2, Big Data Analytics, IT208
2026-11-03, 09:00, 10:30, CSE, 3, Data Structures, CS309
2026-11-03, 09:00, 10:30, CSE, 4, Operating Systems, CS410
2026-11-03, 09:00, 10:30, ECE, 3, Signals and Systems, EC309
2026-11-03, 09:00, 10:30, ECE, 4, Digital Electronics, EC410
2026-11-03, 09:00, 10:30, MECH, 3, Thermodynamics, ME309
2026-11-03, 09:00, 10:30, MECH, 4, Fluid Mechanics, ME410
2026-11-03, 09:00, 10:30, CIVIL, 3, Structural Analysis, CI309
2026-11-03, 09:00, 10:30, CIVIL, 4, Geotechnical Engineering, CI410
2026-11-03, 09:00, 10:30, IT, 3, Web Technologies, IT309
2026-11-03, 09:00, 10:30, IT, 4, Data Mining, IT410
2026-11-03, 11:30, 13:00, CSE, 1, Database Systems, CS111
2026-11-03, 11:30, 13:00, CSE, 2, Computer Networks, CS212
2026-11-03, 11:30, 13:00, ECE, 1, Microprocessors, EC111
2026-11-03, 11:30, 13:00, ECE, 2, Control Systems, EC212
2026-11-03, 11:30, 13:00, MECH, 1, Machine Design, ME111
2026-11-03, 11:30, 13:00, MECH, 2, Manufacturing Processes, ME212
2026-11-03, 11:30, 13:00, CIVIL, 1, Surveying, CI111
2026-11-03, 11:30, 13:00, CIVIL, 2, Concrete Technology, CI212
2026-11-03, 11:30, 13:00, IT, 1, Cloud Computing, IT111
2026-11-03, 11:30, 13:00, IT, 2, Cyber Security, IT212
