2026-12-01, 09:00, 12:00, CSE, 1, CSE Subject 1, CSE101
2026-12-01, 14:00, 17:00, ECE, 2, ECE Subject 2, ECE201
2026-12-02, 09:00, 12:00, MECH, 3, MECH Subject 3, MECH301
2026-12-02, 14:00, 17:00, CSE, 4, CSE Subject 4, CSE401
2026-12-03, 09:00, 12:00, ECE, 1, ECE Subject 1, ECE101
2026-12-03, 14:00, 17:00, MECH, 2, MECH Subject 2, MECH201
2026-12-04, 09:00, 12:00, CSE, 3, CSE Subject 3, CSE301
2026-12-04, 14:00, 17:00, ECE, 4, ECE Subject 4, ECE401
2026-12-05, 09:00, 12:00, MECH, 1, MECH Subject 1, MECH101
2026-12-05, 14:00, 17:00, CSE, 2, CSE Subject 2, CSE201
2026-12-06, 09:00, 12:00, ECE, 3, ECE Subject 3, ECE301
2026-12-06, 14:00, 17:00, MECH, 4, MECH Subject 4, MECH401
